x,result,analytical
  0.0000E+00,  1.0254E+02,  1.0000E+02
  2.0202E-04,  1.0754E+02,  1.0501E+02
  4.0404E-04,  1.1246E+02,  1.0994E+02
  6.0606E-04,  1.1729E+02,  1.1478E+02
  8.0808E-04,  1.2205E+02,  1.1955E+02
  1.0101E-03,  1.2672E+02,  1.2423E+02
  1.2121E-03,  1.3131E+02,  1.2883E+02
  1.4141E-03,  1.3582E+02,  1.3335E+02
  1.6162E-03,  1.4025E+02,  1.3779E+02
  1.8182E-03,  1.4460E+02,  1.4215E+02
  2.0202E-03,  1.4886E+02,  1.4642E+02
  2.2222E-03,  1.5305E+02,  1.5062E+02
  2.4242E-03,  1.5715E+02,  1.5473E+02
  2.6263E-03,  1.6117E+02,  1.5876E+02
  2.8283E-03,  1.6511E+02,  1.6271E+02
  3.0303E-03,  1.6896E+02,  1.6657E+02
  3.2323E-03,  1.7274E+02,  1.7036E+02
  3.4343E-03,  1.7643E+02,  1.7406E+02
  3.6364E-03,  1.8004E+02,  1.7769E+02
  3.8384E-03,  1.8358E+02,  1.8123E+02
  4.0404E-03,  1.8702E+02,  1.8469E+02
  4.2424E-03,  1.9039E+02,  1.8806E+02
  4.4444E-03,  1.9368E+02,  1.9136E+02
  4.6465E-03,  1.9688E+02,  1.9457E+02
  4.8485E-03,  2.0000E+02,  1.9770E+02
  5.0505E-03,  2.0304E+02,  2.0076E+02
  5.2525E-03,  2.0600E+02,  2.0372E+02
  5.4545E-03,  2.0888E+02,  2.0661E+02
  5.6566E-03,  2.1168E+02,  2.0942E+02
  5.8586E-03,  2.1439E+02,  2.1214E+02
  6.0606E-03,  2.1702E+02,  2.1478E+02
  6.2626E-03,  2.1957E+02,  2.1735E+02
  6.4646E-03,  2.2204E+02,  2.1982E+02
  6.6667E-03,  2.2443E+02,  2.2222E+02
  6.8687E-03,  2.2674E+02,  2.2454E+02
  7.0707E-03,  2.2896E+02,  2.2677E+02
  7.2727E-03,  2.3110E+02,  2.2893E+02
  7.4747E-03,  2.3316E+02,  2.3100E+02
  7.6768E-03,  2.3514E+02,  2.3299E+02
  7.8788E-03,  2.3704E+02,  2.3489E+02
  8.0808E-03,  2.3886E+02,  2.3672E+02
  8.2828E-03,  2.4059E+02,  2.3847E+02
  8.4848E-03,  2.4224E+02,  2.4013E+02
  8.6869E-03,  2.4382E+02,  2.4171E+02
  8.8889E-03,  2.4531E+02,  2.4321E+02
  9.0909E-03,  2.4671E+02,  2.4463E+02
  9.2929E-03,  2.4804E+02,  2.4596E+02
  9.4949E-03,  2.4929E+02,  2.4722E+02
  9.6970E-03,  2.5045E+02,  2.4839E+02
  9.8990E-03,  2.5153E+02,  2.4948E+02
  1.0101E-02,  2.5253E+02,  2.5049E+02
  1.0303E-02,  2.5345E+02,  2.5142E+02
  1.0505E-02,  2.5429E+02,  2.5227E+02
  1.0707E-02,  2.5504E+02,  2.5304E+02
  1.0909E-02,  2.5571E+02,  2.5372E+02
  1.1111E-02,  2.5631E+02,  2.5432E+02
  1.1313E-02,  2.5682E+02,  2.5484E+02
  1.1515E-02,  2.5724E+02,  2.5528E+02
  1.1717E-02,  2.5759E+02,  2.5564E+02
  1.1919E-02,  2.5786E+02,  2.5591E+02
  1.2121E-02,  2.5804E+02,  2.5611E+02
  1.2323E-02,  2.5814E+02,  2.5622E+02
  1.2525E-02,  2.5816E+02,  2.5625E+02
  1.2727E-02,  2.5810E+02,  2.5620E+02
  1.2929E-02,  2.5796E+02,  2.5607E+02
  1.3131E-02,  2.5774E+02,  2.5585E+02
  1.3333E-02,  2.5743E+02,  2.5556E+02
  1.3535E-02,  2.5704E+02,  2.5518E+02
  1.3737E-02,  2.5657E+02,  2.5472E+02
  1.3939E-02,  2.5602E+02,  2.5418E+02
  1.4141E-02,  2.5539E+02,  2.5356E+02
  1.4343E-02,  2.5468E+02,  2.5285E+02
  1.4545E-02,  2.5388E+02,  2.5207E+02
  1.4747E-02,  2.5300E+02,  2.5120E+02
  1.4949E-02,  2.5204E+02,  2.5025E+02
  1.5152E-02,  2.5100E+02,  2.4922E+02
  1.5354E-02,  2.4988E+02,  2.4811E+02
  1.5556E-02,  2.4868E+02,  2.4691E+02
  1.5758E-02,  2.4739E+02,  2.4564E+02
  1.5960E-02,  2.4602E+02,  2.4428E+02
  1.6162E-02,  2.4458E+02,  2.4284E+02
  1.6364E-02,  2.4304E+02,  2.4132E+02
  1.6566E-02,  2.4143E+02,  2.3972E+02
  1.6768E-02,  2.3974E+02,  2.3804E+02
  1.6970E-02,  2.3796E+02,  2.3627E+02
  1.7172E-02,  2.3611E+02,  2.3443E+02
  1.7374E-02,  2.3417E+02,  2.3250E+02
  1.7576E-02,  2.3215E+02,  2.3049E+02
  1.7778E-02,  2.3005E+02,  2.2840E+02
  1.7980E-02,  2.2786E+02,  2.2622E+02
  1.8182E-02,  2.2560E+02,  2.2397E+02
  1.8384E-02,  2.2325E+02,  2.2163E+02
  1.8586E-02,  2.2082E+02,  2.1921E+02
  1.8788E-02,  2.1831E+02,  2.1671E+02
  1.8990E-02,  2.1572E+02,  2.1413E+02
  1.9192E-02,  2.1305E+02,  2.1147E+02
  1.9394E-02,  2.1029E+02,  2.0872E+02
  1.9596E-02,  2.0746E+02,  2.0590E+02
  1.9798E-02,  2.0454E+02,  2.0299E+02
  2.0000E-02,  2.0154E+02,  2.0000E+02
